Break In Period,Car Age Inception,Claim Freq,Claim loss_reported_period,Claim occ_cycle,Manufacturer,RTO City,Policy Type,Marital Status,OCCUPATION,CITY,Facility Name,Ageny Num,Surveyor,Type Of Payment,Geography,IDV Value,Claim Element,Claim Created Date,Claim Status
0,4,0,18,56,Holland and Sons,East Conniehaven, New vehicle without NCB,NOT KNOWN,"Research officer, government",New Katieland,"Johnson, Lynn and Harrison",86789820,David Hernandez,CASHLESS,Port Jeffrey,328766, NET OF SALVAGE,11/14/2018 3:00,Accepted
7,1,7,37,75,Vazquez Group,Robertborough, Our own renewals,NOT KNOWN,Visual merchandiser,South Deanna,Sanders and Sons,62854380,Melanie Phillips,CASHLESS,Amyshire,710721,PARTIAL LOSS,12/30/2018 1:59,Accepted
2,2,9,68,79,"Figueroa, Walker and Ward",Brandonton, New vehicle without NCB,NOT KNOWN,Corporate investment banker,Shepardfort,Ford-Bautista,36740397,Philip Long,,Port Coreymouth,1042066, NET OF SALVAGE,2/15/2019 10:21, Rejected
2,1,1,55,37,"Evans, Chambers and Neal",Lake Joseph,MTHF Renewal,NOT KNOWN,Recruitment consultant,Port Christyfort,Pennington-Torres,35328841,Joshua Cohen,CASHLESS,West Daniellechester,572160, OWNER DRIVER:BODY INJURY,12/10/2018 11:14, Rejected
0,6,3,33,61,Martinez-Morales,South Calvin, New vehicle without NCB,NOT KNOWN,Clinical research associate,Johnstonberg,Pearson-Sanchez,89281764,Amanda Morgan,CASHLESS,West Matthewhaven,600860, OWNER DRIVER:BODY INJURY,10/23/2018 21:12, Rejected
0,5,4,31,88,Butler Ltd,Brockville, Our own renewals,NOT KNOWN,Geophysicist/field seismologist,Williamhaven,Reid and Sons,12901991,Zachary Goodwin,CASHLESS,Moralesmouth,314578, OWNER DRIVER:BODY INJURY,10/3/2018 2:07,Accepted
8,5,1,28,45,"Duffy, Fuller and Miller",Josephbury, NCB Transfer,NOT KNOWN,Garment/textile technologist,Patricktown,Moore Ltd,53012099,Brian Hall,CASHLESS,Justinchester,626379, NET OF SALVAGE,3/5/2019 21:50, Rejected
5,10,5,72,59,Rodriguez-Ortega,Port Elizabeth, Our own renewals,NOT KNOWN,"Nurse, mental health",Bruceburgh,Martin-Simmons,53897118,Jessica Castaneda,CASHLESS,Lake Anthonyburgh,553500, OWNER DRIVER:BODY INJURY,11/22/2018 2:13, Rejected
6,7,4,27,70,"Hodge, Garcia and Cross",East Devonmouth, New vehicle without NCB,NOT KNOWN,Community arts worker,Breannachester,"Smith, Barker and Duncan",37070252,Beth Smith,CASHLESS,New Austinville,202920, OWNER DRIVER:DEATH,10/13/2018 0:23,Accepted
0,5,3,79,21,Duarte-Wheeler,Morganland, New vehicle without NCB,NOT KNOWN,Child psychotherapist,East Ryanberg,"Hill, Morales and Bean",15788780,Damon May,CASHLESS,East Ruth,280600,PARTIAL LOSS,10/20/2018 16:40, Rejected
9,5,7,29,87,Davis PLC,Higginschester, New vehicle without NCB,NOT KNOWN,Diplomatic Services operational officer,Poolemouth,Lowery Inc,66390781,Lisa Jordan,CASHLESS,Port Larry,348985,PARTIAL LOSS,3/10/2019 0:26, Rejected
4,2,8,24,19,"Thomas, Smith and Allison",Lake Scottfort,MTHF Renewal,NOT KNOWN,Medical technical officer,West Matthewport,Hernandez PLC,38487236,Jennifer Hicks,CASHLESS,East Darrenfort,495333, OWNER DRIVER:DEATH,2/21/2019 11:50,Accepted
8,1,6,21,47,"Jackson, Elliott and Ward",East Kari, New vehicle without NCB,NOT KNOWN,Operational investment banker,North Barbara,"Lopez, Sims and Dixon",88003553,Diane Vasquez,CASHLESS,Lake Dalton,590880, NET OF SALVAGE,1/25/2019 9:01, Rejected
5,2,5,83,49,King Group,Rossland, Our own renewals,NOT KNOWN,Equities trader,Allenport,"Powell, Keller and Smith",36206663,Megan Morales,CASHLESS,Sanchezshire,1504650, OWNER DRIVER:BODY INJURY,12/12/2018 21:08, Rejected
0,1,1,28,72,Brooks LLC,Matthewview,MTHF Renewal,NOT KNOWN,"Scientist, physiological",East Gregory,Collins-Brown,8521506,Dawn Martinez,CASHLESS,South Nicholasstad,469760,PARTIAL LOSS,1/6/2019 19:20, Rejected
1,5,6,9,29,"Hahn, Rasmussen and Burns",Thomasland, Our own renewals,NOT KNOWN,"Scientist, clinical (histocompatibility and immunogenetics)",West Vincent,Smith LLC,72174219,Charles Hardy,CASHLESS,Saraburgh,326172, OWNER DRIVER:DEATH,2/14/2019 19:58,Accepted
2,5,3,82,94,"Lloyd, Tucker and Green",Robersonfurt, NCB Transfer,NOT KNOWN,"Producer, television/film/video",Robersonhaven,Castro-Haynes,46481312,Shelby White,REIMBURSEMENT,Lake Lisa,326172, NET OF SALVAGE,11/9/2018 2:42, Rejected
3,5,9,12,11,Carr-Woods,East Sheilaport,MTHF Renewal,NOT KNOWN,Ophthalmologist,Lake Rhonda,Wheeler-Brown,74692562,Mr. Richard Cabrera,,New Kyleview,326172, OWNER DRIVER:BODY INJURY,1/21/2019 9:52, Rejected
7,6,4,30,55,Callahan PLC,Johnhaven,MTHF Renewal,NOT KNOWN,Equality and diversity officer,Bobshire,Wyatt-Ramirez,5806456,Daniel Rhodes,,New Steven,280000, OWNER DRIVER:DEATH,3/3/2019 5:19,Accepted
6,6,9,49,53,"Harris, Harris and Patel",Jamestown, New vehicle without NCB,NOT KNOWN,Advertising account planner,Annaburgh,"Chaney, Cardenas and Mahoney",8080001,Paul Green,CASHLESS,Thomasborough,619429, NET OF SALVAGE,9/30/2018 11:04,Accepted
3,2,9,37,36,Harris Inc,Jeffreyville,MTHF Renewal,NOT KNOWN,"Engineer, broadcasting (operations)",New Sherryport,"Price, Gray and Nguyen",26441640,John Newman,CASHLESS,Robertfurt,1485890, OWNER DRIVER:BODY INJURY,11/10/2018 17:41, Rejected
0,1,6,89,17,Floyd and Sons,Hannaton, NCB Transfer,NOT KNOWN,Financial planner,Jamesville,Gibson Group,61494568,Dr. Amanda Montgomery,CASHLESS,Andrewmouth,458400, OWNER DRIVER:BODY INJURY,1/12/2019 13:35, Rejected
5,1,1,65,8,Carter Ltd,Williamshire,MTHF Renewal,NOT KNOWN,"Teacher, secondary school",North Jill,"Cruz, Kelley and Spence",55411669,Casey Jimenez,CASHLESS,Markbury,560800, OWNER DRIVER:BODY INJURY,12/16/2018 22:28, Rejected
6,7,3,2,9,"Adams, Small and Thomas",Shelleyshire, New vehicle without NCB,NOT KNOWN,"Geologist, wellsite",New Tony,Ruiz-Curtis,33746515,Jerry Rojas,CASHLESS,Isaiahport,544350,PARTIAL LOSS,12/5/2018 22:33, Rejected
0,2,2,54,73,Benson Inc,South Patriciafort, NCB Transfer,NOT KNOWN,Retail merchandiser,Aaronstad,"Fox, Williams and Aguilar",39389429,Michael White,CASHLESS,South Robert,1504650,PARTIAL LOSS,10/10/2018 1:15,Accepted
7,2,2,80,17,Willis and Sons,Bowerstown,MTHF Renewal,NOT KNOWN,Hydrographic surveyor,North Michaelview,"Esparza, Skinner and Hodge",73083624,John Herrera,CASHLESS,North Brandon,1899547, NET OF SALVAGE,11/10/2018 11:39, Rejected
1,4,6,99,49,Carey-Payne,North Molly, Our own renewals,NOT KNOWN,Retail banker,West Jamesbury,Washington Group,78768605,Andrea Harris,CASHLESS,Lake Brian,728697, NET OF SALVAGE,3/21/2019 7:00,Accepted
5,3,9,86,20,Reese PLC,Josephport, New vehicle without NCB,NOT KNOWN,Psychiatrist,Lake Denise,Taylor-Moore,12362758,Taylor Ramirez,CASHLESS,Kimberlyland,468213, OWNER DRIVER:DEATH,10/11/2018 15:54,Accepted
0,2,3,66,98,Meyers-Ramos,Danielsmouth, Our own renewals,NOT KNOWN,Textile designer,Mendezmouth,Diaz-Hughes,49657040,William Williams,CASHLESS,Youngport,1290730, OWNER DRIVER:BODY INJURY,12/31/2018 2:21,Accepted
0,2,7,44,50,Nguyen-Medina,Rachelfurt,MTHF Renewal,NOT KNOWN,Probation officer,Port Anthonyberg,Lamb-Vega,40878792,Kendra Hendrix,,Sarahport,1290730, NET OF SALVAGE,3/25/2019 13:59, Rejected
5,3,2,57,25,Khan Inc,Brendachester,MTHF Renewal,NOT KNOWN,"Presenter, broadcasting",Carrilloland,"Benson, Taylor and Leonard",11197341,Dr. Jenny Massey,CASHLESS,Reesefurt,400000, NET OF SALVAGE,10/19/2018 8:57,Accepted
5,3,5,33,48,Walters-Nunez,Andrewburgh,MTHF Renewal,NOT KNOWN,"Geologist, wellsite",New Amandaview,Taylor-Schwartz,78231676,Joseph Williams,,West David,400000, OWNER DRIVER:DEATH,10/23/2018 8:13, Rejected
4,1,6,92,50,Jones-Shaw,North Johnton,MTHF Renewal,NOT KNOWN,Probation officer,Lisaside,Wolf-Mcdaniel,61884485,Tara Frey,CASHLESS,Patelland,1682944, NET OF SALVAGE,12/31/2018 11:39,Accepted
0,2,7,82,17,"Schwartz, Price and Beck",Hallburgh, NCB Transfer,NOT KNOWN,"Scientist, audiological",New Michael,"Ellis, Roberson and Nelson",42840710,Jerry Atkins,CASHLESS,West Adrian,1245992, NET OF SALVAGE,11/20/2018 2:19, Rejected
5,5,7,67,43,Jones and Sons,Spencerchester,MTHF Renewal,NOT KNOWN,Financial controller,Huntermouth,Wong Group,20709193,Donald Lane,CASHLESS,Jonesmouth,611287,PARTIAL LOSS,11/1/2018 3:13, Rejected
5,2,3,98,2,"Knight, Gonzales and Bauer",West Allison,MTHF Renewal,NOT KNOWN,Advertising account planner,East Daniel,"Gallegos, Foster and Kaiser",63546483,Antonio Holt,CASHLESS,Anthonychester,1252310, OWNER DRIVER:DEATH,3/25/2019 11:22,Accepted
0,6,0,19,25,Powell PLC,Luisfort, NCB Transfer,NOT KNOWN,Operations geologist,Buchananmouth,Jackson-Jones,80201406,Ian Walker,CASHLESS,West Sheryl,731167, OWNER DRIVER:BODY INJURY,1/10/2019 1:53,Accepted
1,5,3,33,9,"Johnson, Holmes and Davenport",New Monique, NCB Transfer,NOT KNOWN,Advertising art director,Coleside,"Todd, Smith and Khan",26445950,Jacob Smith,CASHLESS,Hayesport,315505, OWNER DRIVER:DEATH,10/3/2018 23:39,Accepted
0,7,2,85,16,"Doyle, Mason and Martinez",Trevormouth, Our own renewals,NOT KNOWN,Nature conservation officer,Port Aprilton,Patel and Sons,42900425,Andrew Coleman,CASHLESS,West Kayla,254734, NET OF SALVAGE,3/28/2019 4:47, Rejected
0,6,5,77,5,Thompson-Avila,Richardhaven, Our own renewals,NOT KNOWN,Architect,Ellismouth,"Mcbride, Nelson and Caldwell",5019815,Glenda Chavez,CASHLESS,Wilsonton,390000, OWNER DRIVER:DEATH,3/10/2019 2:44, Rejected
6,5,1,13,28,Cochran and Sons,South Bethany,MTHF Renewal,NOT KNOWN,"Therapist, occupational",New Sarahborough,Booth-Hall,97725378,Timothy Welch,CASHLESS,Terriborough,600000, OWNER DRIVER:BODY INJURY,10/11/2018 15:07, Rejected
7,7,0,33,3,"Chapman, Allen and Gutierrez",North Robertoborough, New vehicle without NCB,NOT KNOWN,"Therapist, nutritional",Hensleyhaven,Howell-Young,51676164,Christopher Thompson,CASHLESS,Sandrahaven,254246, OWNER DRIVER:BODY INJURY,3/14/2019 17:11, Rejected
7,2,7,56,24,Henderson-Noble,Angelastad, New vehicle without NCB,NOT KNOWN,Pensions consultant,Downstown,Baker LLC,69574304,Sandra Valentine,CASHLESS,Lisashire,1274533, NET OF SALVAGE,3/12/2019 8:10, Rejected
9,4,0,6,2,Hobbs LLC,Port Jasmine, Our own renewals,NOT KNOWN,"Scientist, research (maths)",New Lucas,Smith-Campbell,19966319,Steven Hernandez,,Lake Katiestad,377028, OWNER DRIVER:BODY INJURY,10/4/2018 5:49, Rejected
0,2,1,50,11,Hernandez Group,New Nathanielbury, New vehicle without NCB,NOT KNOWN,Event organiser,Morrisview,"Thomas, Martinez and Simmons",11954009,Willie Perkins,CASHLESS,Lake Kylechester,1249042, OWNER DRIVER:DEATH,12/3/2018 12:11, Rejected
7,3,4,8,40,Gardner-Smith,Hendricksville, New vehicle without NCB,NOT KNOWN,"Engineer, broadcasting (operations)",Trevorfort,Simpson-Randall,5309919,Alicia Thompson,,New Sheriton,1624998, NET OF SALVAGE,12/23/2018 10:30, Rejected
3,3,7,52,13,Lane Group,Pamelafurt, NCB Transfer,NOT KNOWN,Interior and spatial designer,West Michelle,"Beck, Stevens and Johnson",72538765,Daniel Sullivan,CASHLESS,West James,1624998,PARTIAL LOSS,2/8/2019 15:41, Rejected
3,3,5,57,12,"Hunt, Johnson and Johnson",North Michael, New vehicle without NCB,NOT KNOWN,"Engineer, electronics",East Scottfort,"Medina, Vega and Vincent",54794035,Brianna Ward,,Shannonland,1624998,PARTIAL LOSS,1/21/2019 20:13,Accepted
7,5,4,6,28,Smith and Sons,Lake Alyssa,MTHF Renewal,NOT KNOWN,Dance movement psychotherapist,Lake Jeremybury,"Williams, Jones and Donaldson",19143517,Amanda Hill,,North Tiffany,281674,PARTIAL LOSS,10/12/2018 10:38,Accepted
8,1,1,27,54,Liu LLC,West Dorothychester, Our own renewals,NOT KNOWN,Set designer,Pinedachester,"Hale, Bond and Grant",5247367,Brenda Freeman,CASHLESS,Port Kirk,721201, NET OF SALVAGE,1/11/2019 17:38, Rejected
4,2,0,84,47,Ellison-Aguilar,Kimberlymouth,MTHF Renewal,NOT KNOWN,Advertising copywriter,West Martha,Carter-Barton,72520858,Diane Holland,CASHLESS,New Tamara,1360800, OWNER DRIVER:DEATH,12/13/2018 3:48, Rejected
6,4,8,32,82,"Brown, Lee and Guzman",North Kristopher, New vehicle without NCB,NOT KNOWN,Patent examiner,New Justin,Kirby-Ritter,77247479,Justin Bryant,CASHLESS,Laurenview,1300000,PARTIAL LOSS,10/22/2018 11:59, Rejected
1,3,5,4,49,"Anderson, Dunn and Rodriguez",South Julie,MTHF Renewal,NOT KNOWN,Immigration officer,New Erik,Mccarthy and Sons,52924885,Thomas Atkins,CASHLESS,New Katherineland,1513878, OWNER DRIVER:DEATH,1/6/2019 14:16,Accepted
5,4,6,18,43,Wells-Taylor,South Francis,MTHF Renewal,NOT KNOWN,Aeronautical engineer,Lake Renee,"Evans, Khan and Elliott",3012175,Frank Arnold,CASHLESS,West Rachel,1461000,PARTIAL LOSS,11/26/2018 8:27,Accepted
5,6,9,16,41,"Mercado, Joseph and Conley",East Christophermouth,MTHF Renewal,NOT KNOWN,Dancer,Julieborough,Rivers-Bailey,12758562,Sergio Conner,,Deannaberg,344850, OWNER DRIVER:BODY INJURY,10/25/2018 4:23,Accepted
2,9,4,93,20,Brown-Rodriguez,Thomaschester, NCB Transfer,NOT KNOWN,Passenger transport manager,Lake Cheyenne,Larsen-Lane,32986565,Matthew Adams,,South Kathryn,134400, OWNER DRIVER:BODY INJURY,3/8/2019 1:02, Rejected
2,9,0,78,86,King Group,East Jack, NCB Transfer,NOT KNOWN,"Geologist, engineering",South Katelynburgh,Ferguson-Jones,13808483,Javier Davis,CASHLESS,South Vernon,91000, NET OF SALVAGE,1/2/2019 7:20, Rejected
5,4,8,69,75,"Hicks, Mckinney and Robinson",Stevenborough, New vehicle without NCB,NOT KNOWN,Surgeon,Adrienneborough,Foster Ltd,51374355,Jennifer Martinez,,Diazmouth,315000,PARTIAL LOSS,1/28/2019 18:23, Rejected
7,8,8,34,49,"Alvarez, Bell and Turner",Dickersonfort, NCB Transfer,NOT KNOWN,Charity officer,North Barbara,Garrison-Williams,89305988,Patricia Richardson,REIMBURSEMENT,East Maryton,168300, OWNER DRIVER:BODY INJURY,10/13/2018 3:54,Accepted
4,1,0,43,43,Bell-Brady,North Michael,MTHF Renewal,NOT KNOWN,Systems analyst,Lake Steven,"Reynolds, Day and Flores",24049461,Margaret Rowland,CASHLESS,North Stephen,748681,PARTIAL LOSS,2/1/2019 15:40,Accepted
5,6,5,56,14,Johnson-Murray,Rebeccaport, Our own renewals,NOT KNOWN,Graphic designer,Kathleenport,Lane-Morgan,74397890,Donna Moreno,CASHLESS,Jamesland,530000, OWNER DRIVER:BODY INJURY,1/20/2019 0:18, Rejected
0,6,6,5,54,Obrien-Rice,Higginsville, Our own renewals,NOT KNOWN,Paramedic,South Dakotaview,Moran-Payne,14870640,Brandon Serrano,CASHLESS,Lake Kristenfort,280000, OWNER DRIVER:BODY INJURY,3/17/2019 20:32,Accepted
4,5,4,64,98,"Holmes, Jones and Parker",East Wandaburgh, NCB Transfer,NOT KNOWN,"Engineer, automotive",Lake Derek,Allen-Hanson,76377095,Kenneth Sweeney,CASHLESS,South Brandonchester,221000, OWNER DRIVER:BODY INJURY,3/26/2019 14:53,Accepted
2,9,7,50,69,Johnson-Torres,North Mary,MTHF Renewal,NOT KNOWN,Sport and exercise psychologist,South Krista,"Jones, Lee and Schmidt",59985983,Andrew Snyder,CASHLESS,Tammyburgh,139100, OWNER DRIVER:BODY INJURY,11/27/2018 10:03,Accepted
0,1,4,41,20,"Schmidt, Bentley and Mills",West Jaime,MTHF Renewal,NOT KNOWN,Nutritional therapist,West Kristamouth,Butler-Parrish,26783984,Kevin Small,CASHLESS,West Yolandamouth,369186, OWNER DRIVER:DEATH,11/15/2018 1:33, Rejected
5,4,9,30,56,Rodriguez PLC,New Joshua,MTHF Renewal,NOT KNOWN,Bonds trader,Santosstad,"Melendez, Munoz and Phillips",93237633,Thomas Charles,CASHLESS,Jasonchester,223333, OWNER DRIVER:DEATH,10/12/2018 23:05,Accepted
9,3,2,74,5,"Nunez, Morgan and Cook",Mortonstad,MTHF Renewal,NOT KNOWN,"Physicist, medical",Joneschester,Hartman Ltd,85019037,Jennifer Evans,REIMBURSEMENT,Kennedyland,358693,PARTIAL LOSS,2/18/2019 0:13,Accepted
5,6,2,20,8,"Norton, Lowery and Chan",Butlerfort, NCB Transfer,NOT KNOWN,Mental health nurse,North Loriport,Raymond-Stewart,9029919,Lawrence Russell,CASHLESS,Woodfort,167508, OWNER DRIVER:BODY INJURY,2/27/2019 23:40,Accepted
0,1,9,0,87,Johnson-Brown,Josephburgh,MTHF Renewal,NOT KNOWN,"Lecturer, higher education",Moyerside,Jackson Inc,95171801,Andrew Young,CASHLESS,South Steven,270426, NET OF SALVAGE,2/4/2019 6:46, Rejected
2,4,1,34,91,"Johnson, Foster and Austin",Leachchester, New vehicle without NCB,NOT KNOWN,"Accountant, chartered",Kristinestad,"Smith, Woods and Marshall",79221038,Teresa Sweeney,CASHLESS,Jeffreyshire,272055, OWNER DRIVER:DEATH,10/23/2018 2:06, Rejected
2,2,8,87,20,Goodwin Group,Port Melinda, New vehicle without NCB,NOT KNOWN,Technical author,Hansenfurt,"Morton, Jacobs and Brown",43758168,Anthony Smith,CASHLESS,Herrerafort,260665, OWNER DRIVER:DEATH,12/7/2018 18:55, Rejected
9,7,6,3,44,Thompson and Sons,Karenville, New vehicle without NCB,NOT KNOWN,Exhibition designer,New Jamesshire,"Richard, Scott and Beasley",21503328,Shannon Watson,CASHLESS,New Nicole,257545, NET OF SALVAGE,10/19/2018 19:12, Rejected
7,1,1,43,0,Foster Ltd,Floresshire, NCB Transfer,NOT KNOWN,Advice worker,Hallfort,"Logan, Thomas and Rhodes",58807093,David Jones,REIMBURSEMENT,West Katherineside,769700,PARTIAL LOSS,2/17/2019 19:58,Accepted
8,6,1,44,95,Mccall-Vance,Lake Yvonne, Our own renewals,NOT KNOWN,Civil Service administrator,Brookemouth,Ayers Inc,10990174,Caitlin Jones,,Foxburgh,373905, OWNER DRIVER:DEATH,2/4/2019 4:55, Rejected
1,10,7,79,68,"Schmidt, Owens and Duncan",South Caitlinville, NCB Transfer,NOT KNOWN,Consulting civil engineer,Mariehaven,"Armstrong, Williams and Johnson",3547806,William Davis,REIMBURSEMENT,Alfredton,333300,PARTIAL LOSS,11/17/2018 21:00, Rejected
1,6,7,98,79,"Austin, Jackson and Wheeler",Christopherview, New vehicle without NCB,NOT KNOWN,"Embryologist, clinical",Matthewview,Hicks Ltd,32569688,Danielle Roman,,Wilkinsonberg,420000, OWNER DRIVER:DEATH,2/19/2019 9:49,Accepted
4,11,7,44,58,Guerra-Brewer,Port Jeanne, New vehicle without NCB,NOT KNOWN,Materials engineer,Cartermouth,Elliott-Perkins,90151193,Scott Aguilar,REIMBURSEMENT,Bennettton,88000, OWNER DRIVER:BODY INJURY,11/4/2018 11:42,Accepted
9,6,9,6,67,Aguirre Ltd,Hawkinston,MTHF Renewal,NOT KNOWN,Community pharmacist,Snyderberg,Paul Group,53965967,Jeffrey Dunn,CASHLESS,Jeremyfort,153900,PARTIAL LOSS,3/6/2019 10:10,Accepted
5,6,8,7,21,"Gray, Bush and Wyatt",South Chelsea,MTHF Renewal,NOT KNOWN,"Teacher, secondary school",Jeffreyhaven,"Jimenez, Macdonald and Montoya",13679708,Carol Williams,CASHLESS,Williamtown,220760, NET OF SALVAGE,11/2/2018 5:03,Accepted
9,2,7,45,58,"Rhodes, Johnson and Moore",South Susanhaven, Our own renewals,NOT KNOWN,Solicitor,Mannside,Mckay-Watts,6362804,Gina Atkins,CASHLESS,Dennisfort,203014, OWNER DRIVER:DEATH,1/29/2019 23:21, Rejected
7,2,0,42,27,Eaton-Thompson,East Anthony, New vehicle without NCB,NOT KNOWN,Public affairs consultant,Whitefort,"Huffman, Garcia and Yates",58518148,Allison Rodriguez,,Sampsonbury,594285, OWNER DRIVER:DEATH,9/30/2018 9:09, Rejected
1,0,5,63,99,Duarte Group,Davidport, New vehicle without NCB,NOT KNOWN,Hospital doctor,Melindaville,Johnson LLC,52012424,Caitlin Turner,CASHLESS,New Luis,560025,PARTIAL LOSS,10/24/2018 16:36, Rejected
4,5,6,79,48,"Oconnell, Henry and Watson",Port Darin, Our own renewals,NOT KNOWN,Community education officer,New Davidport,"Foster, Mclaughlin and Robbins",35196615,Jesse Alexander,,Mccoymouth,420755, OWNER DRIVER:BODY INJURY,2/7/2019 5:37, Rejected
4,6,5,51,42,Rasmussen Ltd,Lake Richard,MTHF Renewal,NOT KNOWN,Newspaper journalist,Barbaramouth,"Gomez, Wells and Booker",68747703,Stephen Ochoa,,Millerburgh,1098600, OWNER DRIVER:DEATH,11/21/2018 1:40, Rejected
5,0,7,40,55,Thomas Inc,Danielsshire,MTHF Renewal,NOT KNOWN,Mechanical engineer,West Jerry,"Vazquez, Smith and Friedman",77187567,Ryan Velasquez,REIMBURSEMENT,Ortegabury,388571,PARTIAL LOSS,11/11/2018 16:13,Accepted
8,0,2,34,9,Smith-Smith,Lake Nicolefurt, Our own renewals,NOT KNOWN,Hotel manager,North Reginald,Johnson-Brock,45914947,Tracy Parker,CASHLESS,Scottview,373662, OWNER DRIVER:BODY INJURY,1/6/2019 7:14, Rejected
5,7,6,81,95,Jenkins Group,West Christopher,MTHF Renewal,NOT KNOWN,Chiropractor,New Jonathan,Barton-Collins,18627648,Dawn Carr,,Denisefurt,700000, OWNER DRIVER:BODY INJURY,2/22/2019 16:46,Accepted
4,7,9,77,55,Hoffman and Sons,New Amberstad, New vehicle without NCB,NOT KNOWN,Heritage manager,Alexandrabury,"James, Patterson and Rogers",66864933,Lisa Rhodes,CASHLESS,Danielborough,700000, NET OF SALVAGE,10/14/2018 0:34,Accepted
4,7,7,31,26,Reynolds-Barnes,West Amyburgh, Our own renewals,NOT KNOWN,Clinical cytogeneticist,Lawrencebury,"Anderson, Ford and Cohen",30936193,Brian Bennett,CASHLESS,Mistyton,700000, NET OF SALVAGE,1/23/2019 16:43,Accepted
5,12,1,85,21,Smith PLC,Hannahberg, Our own renewals,NOT KNOWN,Careers adviser,Victorfort,"Pierce, Torres and Simmons",48180947,Sabrina Hayes,CASHLESS,Roachhaven,98600, OWNER DRIVER:BODY INJURY,10/31/2018 6:22, Rejected
9,3,4,29,76,Raymond Group,Shirleyton,MTHF Renewal,NOT KNOWN,"Producer, radio",North Stephanie,Phillips-Campbell,53845436,Riley Ayers DVM,CASHLESS,Port Kayla,418380, NET OF SALVAGE,3/15/2019 8:57, Rejected
6,3,9,39,64,Williams LLC,Briannaside, NCB Transfer,NOT KNOWN,Systems analyst,Arielberg,Miranda-Cannon,17484845,Robert Zuniga,CASHLESS,Moorebury,402932,PARTIAL LOSS,11/17/2018 6:26, Rejected
7,3,1,61,68,"Lamb, House and Williams",Tuckerport, Our own renewals,NOT KNOWN,"Development worker, international aid",Fosterbury,"Harris, Price and Jones",42809951,Alexandra Rodriguez,,South Maxfort,402932, OWNER DRIVER:DEATH,3/4/2019 19:14, Rejected
0,3,3,16,44,Tate-Rich,West Melissa,MTHF Renewal,NOT KNOWN,"Engineer, building services",Nicoleton,Kirk-Rodriguez,68055393,Kenneth Jones,,Christopherstad,315000,PARTIAL LOSS,1/2/2019 23:31, Rejected
5,3,4,42,30,Kelly-Mueller,Rivasborough, Our own renewals,NOT KNOWN,"Accountant, chartered management",Port Brenda,Miller-Jimenez,91339240,Glenda Shepherd,CASHLESS,Colonside,337575, OWNER DRIVER:DEATH,12/31/2018 2:42,Accepted
4,1,6,55,71,Harris-Cox,Larryville, NCB Transfer,NOT KNOWN,"Journalist, broadcasting",New Davidland,Davidson-Cabrera,19651128,Michael Williams,REIMBURSEMENT,West Katherineland,1084710, NET OF SALVAGE,11/20/2018 15:38, Rejected
3,6,3,60,20,Ford PLC,Andreabury, New vehicle without NCB,NOT KNOWN,Associate Professor,West Grace,Cooley LLC,93331210,Patrick Preston,CASHLESS,North Kylechester,457650,PARTIAL LOSS,1/25/2019 19:19,Accepted
4,6,3,64,88,"Brock, Bishop and Bush",Janeport, New vehicle without NCB,NOT KNOWN,Early years teacher,North Toni,"Santos, Brown and Collins",55151770,Rebekah Perez,CASHLESS,Mcclurehaven,200000, OWNER DRIVER:BODY INJURY,1/20/2019 23:34, Rejected
1,6,4,12,81,Daniel-Benson,Port Arianamouth, NCB Transfer,NOT KNOWN,Corporate treasurer,Port Cassandra,"Lewis, Green and Williams",16078760,Jennifer Watts,,Port Joshua,200000, OWNER DRIVER:DEATH,10/4/2018 16:33,Accepted
8,2,9,90,73,Frank-Smith,East Allison, New vehicle without NCB,NOT KNOWN,Landscape architect,Paulmouth,Boyle-Boyd,32234116,Eric Schmitt,REIMBURSEMENT,Port Amy,621000, OWNER DRIVER:DEATH,11/14/2018 0:23, Rejected
2,3,6,73,94,Murphy and Sons,Jordanchester, Our own renewals,NOT KNOWN,Community arts worker,South Paul,Mckay-Thomas,10220901,Richard Thompson,,South Juliebury,543210, OWNER DRIVER:DEATH,12/20/2018 2:19, Rejected
7,4,9,45,56,Pena-Franklin,West Sarah,MTHF Renewal,NOT KNOWN,Associate Professor,Port Jefferytown,"Sandoval, Brown and Miller",27341477,Misty Guzman,CASHLESS,South Gabriel,472050, OWNER DRIVER:DEATH,10/15/2018 18:33, Rejected
3,6,4,50,62,"West, Williams and Moon",North Robertchester,MTHF Renewal,NOT KNOWN,Art therapist,Cherylberg,Haynes-Schwartz,3187321,Caleb Jenkins,CASHLESS,Christopherhaven,300000, OWNER DRIVER:BODY INJURY,2/18/2019 5:18, Rejected
2,6,3,60,22,"Ramirez, Andersen and Villarreal",New Sheila, NCB Transfer,NOT KNOWN,Theatre stage manager,West Laurabury,Dodson and Sons,73866658,Angela Jones,,Lake Kimberly,300000, NET OF SALVAGE,3/5/2019 17:35,Accepted
6,1,6,98,89,Sharp-Freeman,North Ashleeberg,MTHF Renewal,NOT KNOWN,Charity fundraiser,Port Barbaramouth,"Fitzpatrick, Morgan and Owens",17805515,Bobby Smith,,South Marthashire,435000, OWNER DRIVER:DEATH,3/26/2019 8:27,Accepted
5,1,7,58,59,Owens and Sons,Devinshire, New vehicle without NCB,NOT KNOWN,Emergency planning/management officer,Larsonmouth,Andrews-Hayes,89981150,Virginia George,,Bushhaven,750000,PARTIAL LOSS,10/20/2018 2:34,Accepted
